	sentiment	text	selected_text	pred	has_pattern	seperate
4346	negative	That`s one of the reasons we thought 'Should we have a kid?' 'Nah - let`s get a piano instead.' You poor buggers	' You poor bugg	you poor buggers	False	True
10934	positive	It will be an Adventure! Have FUN with your 5 yr old and 8 mo old! (You`re brave.) Hope you have a great time!	) Hope you have a great ti	have fun with your 5 yr old and 8 mo old! (you`re brave.) hope you have a great time!	False	True
18251	negative	On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......**** i feel old	**** i feel old	keggers......**** i feel old	False	True
4993	positive	In hysterics at Yaas` email <3 Am writing a speech for Speakers` and doing Food Technology...**** it`s good to be off school on a Monday	**** it`s good	good	False	True
23507	negative	I don`t think they sale Ciroc where I stay..****..thats just my luck	.****.	stay..****..thats just my luck	False	True
23616	positive	Just saw it tonight as well... Great movie!! Hope you`re well mate! Cheers E	.. Grea	great	False	True
2226	negative	1000 = make sure it has the word poo or balls in it Underbelly DOES suck balls... I gave up on it in wk 3.	.. I gave up on it	underbelly does suck	False	True
17335	positive	If I am... so are U, my friend. HA! But the thing is... WE make old look GOOD!	.. WE make old look GOOD	good!	False	True
26977	positive	morning all will be at Warner soon! lots to do, then go to school for some work... hope everyone has a great day!!!	.. hope everyone has a great day!!!	hope everyone has a great day!!!	False	True
14108	positive	thanks hun!! I`m working hard over here... thanks mama!! I yuhh you!!!	.. thanks	thanks	False	True
8814	positive	Oh Duh....I see that now .....thank you....	...than	.....thank you....	True	True
24304	positive	yes........there are many cool things americans cannot watch	...there are many cool	cool	False	True
10144	positive	Late news then it`s off for some much needed zzzzzzz.......Goodnight Tweets.	..Goodnight Tweets.	zzzzzzz.......goodnight	False	True
14193	negative	How sad is it that your best friend is so selfish and heartless that they exclude you from their life completely...I`m so sad	..I`m so sad	completely...i`m so sad	True	True
19129	negative	Gleneagles then champagne receptions....can`t beat it! I`m in alone, my tea was rubbish and Ive been doing housework	..can`t beat it! I`m in alone, my tea was rubbish and Ive been doing housework	receptions....can`t beat it! i`m in alone, my tea was rubbish	True	True
